ts,app,node,pg,inst
19:10:25.585,0,0,0,0
19:10:25.993,0,0,0,0
19:10:26.455,0,0,0,0
19:10:26.868,0,0,0,0
19:10:27.296,0,0,0,0
19:10:27.730,0,0,0,0
19:10:28.149,0,0,0,0
19:10:28.581,0,0,0,0
19:10:29.011,0,0,0,0
19:10:29.435,0,0,0,0
19:10:29.864,0,0,0,0
19:10:30.297,0,0,0,0
19:10:30.787,0,0,0,0
19:10:31.206,0,0,0,0
19:10:31.619,0,0,0,0
19:10:32.045,0,0,0,0
19:10:32.456,0,0,0,0
19:10:32.885,0,0,0,0
19:10:33.314,0,0,0,0
19:10:33.738,0,0,0,0
19:10:34.170,0,0,0,0
19:10:34.597,0,0,0,0
19:10:35.024,0,0,0,0
19:10:35.454,0,0,0,0
19:10:35.867,0,0,0,0
19:10:36.322,0,0,0,0
19:10:36.732,0,0,0,0
19:10:37.160,0,0,0,0
19:10:37.594,0,0,0,0
19:10:38.024,0,0,0,0
19:10:38.451,0,0,0,0
19:10:38.874,0,0,0,0
19:10:39.298,0,0,0,0
19:10:39.715,0,0,0,0
19:10:40.152,0,0,0,0
19:10:40.563,0,0,0,0
19:10:40.971,0,0,0,0
19:10:41.471,0,0,0,0
19:10:41.903,0,0,0,0
19:10:42.307,0,0,0,0
19:10:42.738,0,0,0,0
19:10:43.153,0,0,0,0
19:10:43.610,0,0,0,0
19:10:44.032,0,0,0,0
19:10:44.468,0,0,0,0
19:10:44.904,0,0,0,0
19:10:45.347,0,0,0,0
19:10:45.795,0,0,0,0
19:10:46.238,0,0,0,0
19:10:46.682,0,0,0,0
19:10:47.123,0,0,0,0
19:10:47.535,0,0,0,0
19:10:47.968,0,0,0,0
19:10:48.415,1,0,0,0
19:10:49.167,1,0,0,0
19:10:49.768,1,0,0,0
19:10:50.198,1,0,0,0
19:10:50.625,1,2,0,0
19:10:51.053,1,2,0,0
19:10:51.462,1,2,0,0
19:10:51.883,1,2,0,0
19:10:52.436,1,2,0,0
19:10:52.880,1,2,0,0
19:10:53.316,1,2,1,0
19:10:53.787,1,2,1,0
19:10:54.266,1,2,0,0
19:10:54.844,1,2,1,0
19:10:55.274,1,2,1,0
19:10:55.687,1,2,9,0
19:10:56.105,1,2,9,0
19:10:56.517,1,2,9,0
19:10:56.943,1,2,9,0
19:10:57.358,1,2,9,0
19:10:57.786,1,2,9,0
19:10:58.331,1,2,15,0
19:10:58.752,1,2,15,0
19:10:59.174,1,2,15,0
19:10:59.606,1,2,15,0
19:11:00.026,1,2,15,0
19:11:00.440,1,2,15,0
19:11:00.865,1,2,15,0
19:11:01.296,1,2,15,0
19:11:01.733,1,2,15,0
19:11:02.156,1,2,15,0
19:11:02.580,1,2,15,0
19:11:03.006,1,2,15,0
19:11:03.424,1,2,15,0
19:11:03.851,1,2,15,0
19:11:04.258,1,2,15,0
19:11:04.679,1,2,15,0
19:11:05.114,1,2,15,0
19:11:05.535,1,2,15,0
19:11:05.959,1,2,15,0
19:11:06.376,1,2,15,0
19:11:06.808,1,2,15,0
19:11:07.222,1,2,15,0
19:11:07.645,1,2,15,0
19:11:08.076,1,2,15,0
19:11:08.484,1,2,15,0
19:11:08.923,1,2,15,0
19:11:09.344,1,2,15,0
19:11:09.762,1,2,15,0
19:11:10.174,1,2,15,0
19:11:10.596,1,2,15,0
19:11:11.014,1,2,15,0
19:11:11.435,1,2,15,0
19:11:11.845,1,2,15,0
19:11:12.264,1,2,15,0
19:11:12.686,1,2,15,0
19:11:13.102,1,2,15,0
19:11:13.526,1,2,15,0
19:11:13.944,1,2,15,0
19:11:14.358,1,2,15,0
19:11:14.770,1,2,15,0
19:11:15.191,1,2,15,0
19:11:15.608,1,2,15,0
19:11:16.016,1,2,15,0
19:11:16.457,1,2,15,0
19:11:16.883,1,2,15,0
19:11:17.298,1,2,15,0
19:11:17.725,1,2,15,0
19:11:18.156,1,2,15,0
19:11:18.597,1,2,15,0
19:11:19.015,1,2,15,0
19:11:19.424,1,2,15,0
19:11:19.864,1,2,15,0
19:11:20.292,1,2,15,0
19:11:20.707,1,2,15,0
19:11:21.127,1,2,15,0
19:11:21.546,1,2,15,0
19:11:21.971,1,2,15,0
19:11:22.387,1,2,15,0
19:11:22.803,1,2,15,0
19:11:23.210,1,2,15,0
19:11:23.636,1,2,15,0
19:11:24.060,1,2,15,0
19:11:24.475,1,2,15,0
19:11:24.889,1,2,15,0
19:11:25.315,1,2,15,0
19:11:25.743,1,2,15,0
19:11:26.173,1,2,15,0
19:11:26.590,1,2,15,0
19:11:27.007,1,2,15,0
19:11:27.439,1,2,15,0
